onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.501	6	0	0	0	4	B	0
 14.002	7	1	5	4	4	B	1
 35.501	6	0	0	0	2	B	0
     43	7	0	0	0	2	B	1
 52.501	6	0	0	0	2	B	0
     60	7	0	0	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	0	0	0	4	F	1
   86.5	6	0	0	0	2	F	0
 94.502	6	0	0	0	2	F	0
102.001	7	0	0	0	2	F	1
  111.5	6	0	0	0	4	F	0
  119.5	6	0	0	0	4	B	0
  139.5	6	0	0	0	6	F	0
147.001	7	0	0	0	6	F	1
156.502	6	0	0	0	6	B	0
164.001	7	0	0	0	6	B	1
173.502	6	0	0	0	6	B	0
    181	7	0	0	0	6	B	1
202.501	6	0	0	0	4	F	0
    210	7	0	0	0	4	F	1
  219.5	6	0	0	0	2	B	0
    227	7	0	0	0	2	B	1
  248.5	6	0	0	0	4	B	0
256.002	7	0	0	0	4	B	1
  265.5	6	0	0	0	2	B	0
  273.5	6	0	0	0	2	F	0
    281	7	0	0	0	2	F	1
  290.5	6	0	0	0	4	B	0
298.002	7	0	0	0	4	B	1
  307.5	6	0	0	0	6	F	0
315.001	7	0	0	0	6	F	1
  324.5	6	0	0	0	6	B	0
332.502	6	0	0	0	4	F	0
    340	7	0	0	0	4	F	1
  349.5	6	0	0	0	6	F	0
    357	7	0	0	0	6	F	1
  366.5	6	0	0	0	6	F	0
  374.5	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
  391.5	6	0	0	0	6	B	0
    399	7	0	0	0	6	B	1
