onset	duration	isError	totalError	memError	load	recall_dir	retrieval
    6.5	6	0	0	0	4	B	0
 14.002	7	0	0	0	4	B	1
   35.5	6	0	0	0	2	B	0
     43	7	0	0	0	2	B	1
   52.5	6	0	0	0	2	B	0
     60	7	0	0	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	0	0	0	4	F	1
 86.502	6	0	0	0	2	F	0
   94.5	6	0	0	0	2	F	0
    102	7	0	0	0	2	F	1
  111.5	6	0	0	0	4	F	0
  119.5	6	0	0	0	4	B	0
  139.5	6	0	0	0	6	F	0
    147	7	0	0	0	6	F	1
  156.5	6	0	0	0	6	B	0
    164	7	0	0	0	6	B	1
  173.5	6	0	0	0	6	B	0
181.002	7	0	0	0	6	B	1
202.502	6	0	0	0	4	F	0
    210	7	0	0	0	4	F	1
219.502	6	0	0	0	2	B	0
    227	7	0	0	0	2	B	1
  248.5	6	0	0	0	4	B	0
    256	7	0	0	0	4	B	1
  265.5	6	0	0	0	2	B	0
  273.5	6	0	0	0	2	F	0
    281	7	0	0	0	2	F	1
  290.5	6	0	0	0	4	B	0
    298	7	0	0	0	4	B	1
  307.5	6	0	0	0	6	F	0
315.002	7	0	0	0	6	F	1
  324.5	6	0	0	0	6	B	0
332.501	6	0	0	0	4	F	0
    340	7	0	0	0	4	F	1
  349.5	6	0	0	0	6	F	0
    357	7	0	0	0	6	F	1
  366.5	6	0	0	0	6	F	0
  374.5	6	0	0	0	2	F	0
    382	7	0	0	0	2	F	1
391.501	6	0	0	0	6	B	0
    399	7	0	0	0	6	B	1
    6.5	6	0	0	0	2	F	0
 14.001	7	0	0	0	2	F	1
 23.501	6	0	0	0	2	B	0
     31	7	0	0	0	2	B	1
   40.5	6	0	0	0	6	B	0
 48.001	7	0	0	0	6	B	1
 69.502	6	0	0	0	2	B	0
 77.502	6	0	0	0	6	F	0
     85	7	1	6	6	6	F	1
106.501	6	0	0	0	4	B	0
114.001	7	0	0	0	4	B	1
  123.5	6	0	0	0	4	F	0
131.501	6	0	0	0	4	F	0
    139	7	0	0	0	4	F	1
  148.5	6	0	0	0	6	B	0
    156	7	0	0	0	6	B	1
165.501	6	0	0	0	4	F	0
    173	7	0	0	0	4	F	1
182.501	6	0	0	0	4	F	0
190.001	7	0	0	0	4	F	1
211.501	6	0	0	0	6	F	0
219.001	7	0	0	0	6	F	1
228.501	6	0	0	0	2	F	0
  236.5	6	0	0	0	4	B	0
244.501	6	0	0	0	6	F	0
  252.5	6	0	0	0	6	F	0
    260	7	0	0	0	6	F	1
  269.5	6	0	0	0	2	F	0
277.001	7	0	0	0	2	F	1
286.501	6	0	0	0	2	F	0
294.001	7	0	0	0	2	F	1
  303.5	6	0	0	0	6	B	0
311.501	6	0	0	0	2	B	0
319.001	7	0	0	0	2	B	1
328.501	6	0	0	0	6	B	0
    336	7	0	0	0	6	B	1
345.501	6	0	0	0	2	B	0
353.001	7	1	1	0	2	B	1
  374.5	6	0	0	0	4	B	0
382.001	7	0	0	0	4	B	1
391.501	6	0	0	0	4	B	0
399.002	7	0	0	0	4	B	1
    6.5	6	0	0	0	4	F	0
     14	7	0	0	0	4	F	1
 35.501	6	0	0	0	4	B	0
     43	7	0	0	0	4	B	1
   52.5	6	0	0	0	2	B	0
 60.002	7	0	0	0	2	B	1
   69.5	6	0	0	0	4	F	0
     77	7	0	0	0	4	F	1
   86.5	6	0	0	0	4	B	0
   94.5	6	0	0	0	6	B	0
102.002	7	1	1	1	6	B	1
  111.5	6	0	0	0	2	F	0
  119.5	6	0	0	0	6	B	0
127.002	7	0	0	0	6	B	1
  136.5	6	0	0	0	4	F	0
    144	7	0	0	0	4	F	1
  153.5	6	0	0	0	6	F	0
  161.5	6	0	0	0	6	B	0
    169	7	0	0	0	6	B	1
