onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.502	6	0	0	0	2	F	0
   14.5	6	0	0	0	6	F	0
     22	7	1	3	3	6	F	1
 31.502	6	0	0	0	4	F	0
     39	7	1	2	1	4	F	1
   60.5	6	0	0	0	4	F	0
     68	7	1	1	0	4	F	1
   77.5	6	0	0	0	6	B	0
 85.501	6	0	0	0	4	B	0
     93	7	0	0	0	4	B	1
102.501	6	0	0	0	6	F	0
110.001	7	0	0	0	6	F	1
  119.5	6	0	0	0	4	B	0
    127	7	0	0	0	4	B	1
  136.5	6	0	0	0	4	B	0
144.502	6	0	0	0	2	B	0
  164.5	6	0	0	0	6	B	0
172.002	7	0	0	0	6	B	1
  181.5	6	0	0	0	2	F	0
    189	7	0	0	0	2	F	1
198.502	6	0	0	0	4	F	0
    206	7	0	0	0	4	F	1
215.502	6	0	0	0	6	B	0
    223	7	0	0	0	6	B	1
244.502	6	0	0	0	2	F	0
252.002	7	0	0	0	2	F	1
  261.5	6	0	0	0	2	B	0
    269	7	0	0	0	2	B	1
  278.5	6	0	0	0	2	F	0
286.002	7	0	0	0	2	F	1
  295.5	6	0	0	0	4	B	0
    303	7	0	0	0	4	B	1
312.502	6	0	0	0	2	B	0
    320	7	0	0	0	2	B	1
  329.5	6	0	0	0	6	B	0
    337	7	0	0	0	6	B	1
  358.5	6	0	0	0	6	F	0
366.502	6	0	0	0	6	F	0
374.002	7	0	0	0	6	F	1
  383.5	6	0	0	0	4	F	0
391.501	6	0	0	0	2	B	0
399.002	7	0	0	0	2	B	1
