onset	duration	isError	totalError	memError	load	recall_dir	retrieval
  6.502	6	0	0	0	2	F	0
   14.5	6	0	0	0	6	F	0
     22	7	1	3	3	6	F	1
 31.502	6	0	0	0	4	F	0
     39	7	1	2	1	4	F	1
   60.5	6	0	0	0	4	F	0
     68	7	1	1	0	4	F	1
   77.5	6	0	0	0	6	B	0
 85.501	6	0	0	0	4	B	0
     93	7	0	0	0	4	B	1
102.501	6	0	0	0	6	F	0
110.001	7	0	0	0	6	F	1
  119.5	6	0	0	0	4	B	0
    127	7	0	0	0	4	B	1
  136.5	6	0	0	0	4	B	0
144.502	6	0	0	0	2	B	0
  164.5	6	0	0	0	6	B	0
172.002	7	0	0	0	6	B	1
  181.5	6	0	0	0	2	F	0
    189	7	0	0	0	2	F	1
198.502	6	0	0	0	4	F	0
    206	7	0	0	0	4	F	1
215.502	6	0	0	0	6	B	0
    223	7	0	0	0	6	B	1
244.502	6	0	0	0	2	F	0
252.002	7	0	0	0	2	F	1
  261.5	6	0	0	0	2	B	0
    269	7	0	0	0	2	B	1
  278.5	6	0	0	0	2	F	0
286.002	7	0	0	0	2	F	1
  295.5	6	0	0	0	4	B	0
    303	7	0	0	0	4	B	1
312.502	6	0	0	0	2	B	0
    320	7	0	0	0	2	B	1
  329.5	6	0	0	0	6	B	0
    337	7	0	0	0	6	B	1
  358.5	6	0	0	0	6	F	0
366.502	6	0	0	0	6	F	0
374.002	7	0	0	0	6	F	1
  383.5	6	0	0	0	4	F	0
391.501	6	0	0	0	2	B	0
399.002	7	0	0	0	2	B	1
    6.5	6	0	0	0	4	B	0
   14.5	6	0	0	0	6	F	0
   34.5	6	0	0	0	6	F	0
 42.002	7	0	0	0	6	F	1
 51.501	6	0	0	0	6	F	0
     59	7	0	0	0	6	F	1
 68.502	6	0	0	0	4	B	0
 76.001	7	0	0	0	4	B	1
 85.501	6	0	0	0	2	F	0
 93.001	7	0	0	0	2	F	1
102.501	6	0	0	0	6	B	0
110.501	6	0	0	0	2	F	0
118.001	7	0	0	0	2	F	1
127.501	6	0	0	0	2	F	0
135.001	7	0	0	0	2	F	1
  156.5	6	0	0	0	4	F	0
164.001	7	0	0	0	4	F	1
173.502	6	0	0	0	2	B	0
181.002	7	0	0	0	2	B	1
202.501	6	0	0	0	4	B	0
210.002	7	0	0	0	4	B	1
219.501	6	0	0	0	4	B	0
227.002	7	0	0	0	4	B	1
236.501	6	0	0	0	6	B	0
244.001	7	0	0	0	6	B	1
265.502	6	0	0	0	4	F	0
273.001	7	0	0	0	4	F	1
282.502	6	0	0	0	2	B	0
    290	7	0	0	0	2	B	1
  299.5	6	0	0	0	2	F	0
307.501	6	0	0	0	2	B	0
315.502	6	0	0	0	4	F	0
    323	7	1	2	2	4	F	1
332.501	6	0	0	0	6	B	0
340.002	7	0	0	0	6	B	1
  349.5	6	0	0	0	2	B	0
357.001	7	1	1	0	2	B	1
  366.5	6	0	0	0	6	F	0
374.001	7	1	1	1	6	F	1
383.502	6	0	0	0	4	F	0
  391.5	6	0	0	0	6	B	0
399.001	7	0	0	0	6	B	1
    6.5	6	0	0	0	4	F	0
     14	7	1	1	1	4	F	1
   23.5	6	0	0	0	6	F	0
     31	7	1	2	2	6	F	1
   40.5	6	0	0	0	2	B	0
     48	7	0	0	0	2	B	1
   57.5	6	0	0	0	4	F	0
     65	7	0	0	0	4	F	1
   86.5	6	0	0	0	2	B	0
     94	7	0	0	0	2	B	1
  115.5	6	0	0	0	4	B	0
    123	7	0	0	0	4	B	1
  132.5	6	0	0	0	6	B	0
    140	7	1	1	1	6	B	1
  149.5	6	0	0	0	2	F	0
    157	7	0	0	0	2	F	1
  166.5	6	0	0	0	4	F	0
    174	7	0	0	0	4	F	1
  183.5	6	0	0	0	6	F	0
    191	7	1	3	3	6	F	1
  200.5	6	0	0	0	2	B	0
    208	7	0	0	0	2	B	1
  217.5	6	0	0	0	4	B	0
    225	7	0	0	0	4	B	1
  234.5	6	0	0	0	2	F	0
    242	7	0	0	0	2	F	1
  251.5	6	0	0	0	4	F	0
259.501	6	0	0	0	2	B	0
  267.5	6	0	0	0	6	F	0
    275	7	0	0	0	6	F	1
  284.5	6	0	0	0	6	B	0
    292	7	0	0	0	6	B	1
  301.5	6	0	0	0	2	F	0
  321.5	6	0	0	0	6	B	0
    329	7	0	0	0	6	B	1
  338.5	6	0	0	0	2	F	0
    346	7	0	0	0	2	F	1
  355.5	6	0	0	0	6	B	0
  363.5	6	0	0	0	4	B	0
  371.5	6	0	0	0	4	B	0
    379	7	0	0	0	4	B	1
  400.5	6	0	0	0	6	F	0
